Artist	Title
8485, Danny Brown	G.I.R.L.
Billionhappy, Ninajirachi	BiBi
Dorian Electra, Frost Children, atlgrandma	We Invented Love
Frost Children	ANGEL'S THOUGHTS
Frost Children	FOX BOP
Frost Children	Falling
Jane Remover	Dancing with your eyes closed
Jane Remover	Professional Vengeance
Joey Cash	lose control
Kiid katze	IMPROVISED EXPLOSIVE
Kiid katze	PLEASE DIE RN
Ninajirachi	CSIRAC
Ninajirachi	Can't Wake Up
Ninajirachi	Undo U
Ninajirachi	Wayside
Ninajirachi, Kota Banks	Kota on the plane
Ninajirachi, Raj Mahal	Hidden Land
Ninajirachi, daine	It's You
Oklou, Bladee	take me by the hand
That Kid, 6arelyhuman, underscores	Spencer Needs A Ladder
Whethan, LAVINIA	Cola
aespa	Whiplash
kmoe	Linoleum
maniken05, Ninajirachi	perfect self
underscores	Music
underscores, gabby start	Locals (Girls like us) [with gabby start]
webcage	TENSIONNN
webcage	are you mad
webcage	lipstick 405
